,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
48,"Roma Antica, кафе",70000001040442218,"Чайковского, 56",1200.0,1,0,0,0,0,0,0,Итальянская кухня,1200.0,8.78,4.7,92.0
49,"Дели Дарбар, ресторан",70000001048056867,"Чайковского, 75",800.0,0,1,0,0,0,0,0,Индийская кухня,800.0,8.58,4.9,150.0
50,"Шаляпин, ресторан",5348552838660956,"Тверская, 12",3000.0,1,0,1,0,0,0,0,Русская кухня,3000.0,12.78,4.3,32.0
51,"Жуйси, ресторан",70000001091238028,"Фурштатская улица, 37",1500.0,0,1,0,0,0,0,0,Китайская кухня,1500.0,7.08,4.2,14.0
52,"Chloe, кафе",70000001061311210,"Чайковского, 50",900.0,1,0,0,0,0,0,0,Европейская кухня,900.0,9.43,4.4,64.0
53,"Гнездо глухаря, бард-клуб",70000001045170329,"Воскресенская набережная, 16",1000.0,1,0,0,0,0,0,0,Европейская кухня,1000.0,13.24,3.9,43.0
54,"Liman, кафе",70000001025415270,"Захарьевская улица, 27",1000.0,1,0,0,0,0,1,0,Итальянская кухня,1000.0,11.49,4.3,118.0
55,"Чаплин-клуб, ресторан-кабаре",5348552838498235,"Чайковского, 59",1200.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,1200.0,10.13,3.2,5.0
56,"Евразия, рестораны японской и европейской кухни",70000001062921545,"Захарьевская улица, 27",1000.0,1,1,0,0,0,1,0,Европейская кухня; Азиатская кухня,1000.0,11.68,4.5,231.0
57,"Mitoya, ресторан паназиатской кухни",70000001075745899,"проспект Чернышевского, 6",1300.0,0,1,0,0,0,0,0,Паназиатская кухня,1300.0,12.07,4.7,52.0
58,"Mama roma, ресторан итальянской кухни",70000001061114742,"проспект Чернышевского, 6",1200.0,1,0,0,0,0,0,0,Итальянская кухня,1200.0,12.24,4.4,236.0
59,"Grebeshki, бистро с акцентом на северные продукты",70000001037922474,"Арсенальная набережная, 1",2500.0,1,0,1,0,0,0,0,Рыбная кухня; Средиземноморская кухня,2500.0,18.83,4.7,121.0
60,"Янцзы, ресторан",70000001079764459,"Чайковского, 38",1000.0,0,1,0,0,0,0,0,Японская кухня; Китайская кухня,1000.0,11.11,4.0,39.0
61,"Миндаль cafe, ресторан",70000001006144221,"проспект Чернышевского, 5",1500.0,1,1,0,0,1,1,0,Восточная кухня; Грузинская кухня,1500.0,12.8,4.4,38.0
62,"Bistrot 44, ресторан",70000001075216735,"Восстания, 44",1500.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Итальянская кухня,1500.0,7.43,4.8,53.0
63,"Beer House, сеть баров",5348553838650856,"Чайковского, 38",1200.0,1,0,0,0,0,1,0,Европейская кухня,1200.0,11.38,4.5,124.0
